movie_name,movie_star
素媛/소원/许愿  /  希望：为爱重生(台),9.3
十二怒汉/12 Angry Men/12怒汉  /  十二怒汉,9.4
哈尔的移动城堡/ハウルの動く城/哈尔移动城堡(港)  /  霍尔的移动城堡(台),9.1
让子弹飞/让子弹飞一会儿  /  火烧云,9.0
何以为家/كفرناحوم/迦百农  /  星仔打官司(港),9.1
摔跤吧！爸爸/Dangal/我和我的冠军女儿(台)  /  打死不离3父女(港),9.0
猫鼠游戏/Catch Me If You Can/逍遥法外  /  捉智双雄(港),9.1
天空之城/天空の城ラピュタ/天空之城拉普他  /  空中城堡拉普他,9.2
鬼子来了/Devils on the Doorstep,9.3
海蒂和爷爷/Heidi/飘零燕(港)  /  海蒂,9.3
少年派的奇幻漂流/Life of Pi/少年Pi的奇幻漂流  /  漂流少年Pi,9.1
钢琴家/The Pianist/钢琴战曲(港)  /  战地琴人(台),9.3
大话西游之月光宝盒/西遊記第壹佰零壹回之月光寶盒/西游记101回月光宝盒  /  齐天大圣东游记,9.0
指环王2：双塔奇兵/The Lord of the Rings: The Two Towers/魔戒二部曲：双城奇谋  /  指环王II：双塔,9.2
闻香识女人/Scent of a Woman/女人香  /  女人的芳香,9.1
小鞋子/بچه های آسمان/天堂的孩子  /  小童鞋,9.2
沉默的羔羊/The Silence of the Lambs/沉默的羔羊,8.9
功夫/功夫3D  /  Kung Fu Hustle,8.8
布达佩斯大饭店/The Grand Budapest Hotel/布达佩斯大酒店(港)  /  欢迎来到布达佩斯大饭店(台),8.9
禁闭岛/Shutter Island/不赦岛(港)  /  隔离岛(台),8.9
蝴蝶效应/The Butterfly Effect/蝴蝶效应,8.9
哈利·波特与阿兹卡班的囚徒/Harry Potter and the Prisoner of Azkaban/哈利波特3：阿兹卡班的逃犯(港 / 台) ,9.0
致命魔术/The Prestige/死亡魔法(港)  /  顶尖对决(台),8.9
心灵捕手/Good Will Hunting/骄阳似我(港)  /  心灵捕手,8.9
超脱/Detachment/人间师格(台),9.0
低俗小说/Pulp Fiction/危险人物(港)  /  黑色追缉令(台),8.9
摩登时代/Modern Times/The Masses  /  Les Temps modernes,9.3
海豚湾/The Cove/血色海湾(台)  /  海湾,9.3
春光乍泄/春光乍洩/一起快乐  /  Happy Together,9.0
喜剧之王/喜劇之王/King of Comedy,8.8
美国往事/Once Upon a Time in America/四海兄弟(台)  /  义薄云天(港),9.2
致命ID/Identity/杀人游戏  /  致命身份,8.9
杀人回忆/살인의 추억/谋杀回忆  /  杀手回忆录,8.9
哈利·波特与密室/Harry Potter and the Chamber of Secrets/哈利波特2：消失的密室(港 / 台) ,8.9
红辣椒/パプリカ/盗梦侦探(港 / 台) ,9.1
加勒比海盗/Pirates of the Caribbean: The Curse of the Black Pearl/加勒比海盗1：黑珍珠号的诅咒  /  神鬼奇航：鬼盗船魔咒(台),8.8
七宗罪/Se7en/火线追缉令(台)  /  7宗罪,8.8
一一/Yi yi  /  Yi yi: A One and a Two,9.1
狩猎/Jagten/诬网(港)  /  谎言的烙印(台),9.1
唐伯虎点秋香/唐伯虎點秋香/Flirting Scholar,8.7
彗星来的那一夜/Coherence/相干性  /  相干效应,8.6
萤火虫之墓/火垂るの墓/再见萤火虫(港)  /  萤火挽歌,8.7
哈利·波特与死亡圣器(上)/Harry Potter and the Deathly Hallows: Part 1/哈利波特7：死神的圣物1(港 / 台) ,8.5
奇迹男孩/Wonder/奇迹,8.6
黑客帝国2：重装上阵/The Matrix Reloaded/22世纪杀人网络2：决战未来(港)  /  骇客任务：重装上阵(台),8.7
二十二/Twenty Two  /  22,8.7
白日梦想家/The Secret Life of Walter Mitty/发梦王大历险(港)  /  白日梦冒险王(台),8.6
高山下的花环/卫国军魂(港)  /  Wreaths at the Foot of the Mountain,9.5
火星救援/The Martian/火星任务(港)  /  绝地救援(台),8.5
战争之王/Lord of War/军火之王(台 / 港) ,8.7
血钻/Blood Diamond/血钻石(台)  /  血腥钻石,8.7
步履不停/歩いても 歩いても/横山家之味(港 / 台) ,8.8
房间/Room/不存在的房间(台)  /  抖室(港),8.8
千年女优/千年女優/Millennium Actress,8.8
魂断蓝桥/Waterloo Bridge/滑铁卢桥  /  断桥残梦,8.8
哈利·波特与凤凰社/Harry Potter and the Order of the Phoenix/哈利波特5：凤凰会的密令(港 / 台) ,8.5
谍影重重2/The Bourne Supremacy/叛谍追击2：机密圈套(港)  /  神鬼认证：神鬼疑云(台),8.7
大红灯笼高高挂/Raise The Red Lantern  /  Épouses et concubines,8.8
蜘蛛侠：平行宇宙/Spider-Man: Into the Spider-Verse/蜘蛛侠：新纪元  /  蜘蛛人：新宇宙(台),8.6
弱点/The Blind Side/守护有心人(港)  /  攻其不备(台),8.7
谍影重重/The Bourne Identity/叛谍追击(港)  /  神鬼认证(台),8.6
阿飞正传/阿飛正傳/Days of Being Wild,8.5
朗读者/The Reader/为爱朗读(台)  /  读爱(港),8.6
再次出发之纽约遇见你/Begin Again/再次出发  /  歌曲改变人生,8.6
燃情岁月/Legends of the Fall/秋日传奇  /  真爱一世情(台),8.7
7号房的礼物/7번방의 선물/戆爸的礼物(港)  /  7号囚房的礼物,8.9
被嫌弃的松子的一生/嫌われ松子の一生/花样奇缘(港)  /  令人讨厌的松子的一生(台),8.9
蝙蝠侠：黑暗骑士崛起/The Dark Knight Rises/蝙蝠侠前传3：黑暗骑士崛起  /  黑暗骑士：黎明升起(台),8.9
爱在黎明破晓前/Before Sunrise/情留半天(港)  /  爱在黎明破晓时(台),8.8
请以你的名字呼唤我/Call Me by Your Name/以你的名字呼唤我(港 / 台) ,8.8
甜蜜蜜/Comrades: Almost a Love Story,8.9
断背山/Brokeback Mountain/断臂山  /  BBM,8.8
剪刀手爱德华/Edward Scissorhands/幻海奇缘(港)  /  剪刀手爱德华,8.7
入殓师/おくりびと/礼仪师之奏鸣曲(港)  /  礼仪师(台),8.9
第六感/The Sixth Sense/鬼眼(港)  /  灵异第六感(台),8.9
重庆森林/重慶森林/Chungking Express,8.8
超能陆战队/Big Hero 6/大英雄联盟(港)  /  大英雄天团(台),8.7
勇敢的心/Braveheart/惊世未了缘(港)  /  梅尔吉勃逊之英雄本色(台),8.9
爱在日落黄昏时/Before Sunset/日落巴黎(港)  /  爱在日落巴黎时(台),8.9
幽灵公主/もののけ姫/魔法公主(港)  /  魔法公主(台),8.9
寄生虫/기생충/寄生上流(台)  /  上流寄生族(港),8.8
菊次郎的夏天/菊次郎の夏/菊次郎之夏  /  Kikujirô no natsu,8.9
借东西的小人阿莉埃蒂/借りぐらしのアリエッティ/借物少女艾莉缇(台)  /  借东西的小矮人亚莉亚蒂(港),8.9
消失的爱人/Gone Girl/失踪的女孩  /  失踪女孩,8.7
无人知晓/誰も知らない/谁知赤子心(港)  /  无人知晓的夏日清晨(台),9.1
阳光灿烂的日子/In the Heat of the Sun,8.8
完美的世界/A Perfect World/强盗保镳,9.1
倩女幽魂/倩女幽魂(87版)  /  倩女幽魂：妖魔道,8.8
时空恋旅人/About Time/回到最爱的一天(港)  /  真爱每一天(台),8.8
天使爱美丽/Le Fabuleux destin d'Amélie Poulain/艾蜜莉的异想世界(台)  /  天使艾米莉,8.7
海街日记/海街diary/海街女孩日记(港)  /  Kamakura Diary,8.8
纵横四海/緃横四海/Once a Thief,8.8
卢旺达饭店/Hotel Rwanda/卢安达饭店(台),8.9
心灵奇旅/Soul/灵魂奇遇记(港)  /  灵魂急转弯(台),8.7
"背靠背，脸对脸/背对背，脸对脸  /  Back to Back, Face to Face",9.5
疯狂的石头/Crazy Stone,8.6
记忆碎片/Memento/凶心人(港)  /  记忆拼图(台),8.7
雨中曲/Singin' in the Rain/万花嬉春(港 / 台) ,9.1
2001太空漫游/2001: A Space Odyssey/2001：星际漫游  /  2001：太空奥德赛,8.9
无间道2/無間道II/无间道前传  /  Infernal Affairs II,8.7
岁月神偷/歲月神偷/1969太空漫游  /  Echoes Of The Rainbow,8.7
小偷家族/万引き家族/Shoplifters  /  Une Affaire de Famille,8.7
忠犬八公物语/ハチ公物語/八千公物语  /  阿八的故事,9.2
无敌破坏王/Wreck-It Ralph/破坏王拉尔夫  /  破坏王大冒险,8.7
荒蛮故事/Relatos salvajes/蛮荒故事  /  生命中最抓狂的小事(台),8.8
冰川时代/Ice Age/冰河世纪  /  冰原历险记,8.6
爆裂鼓手/Whiplash/鼓动真我(港)  /  进击的鼓手(台),8.7
恐怖游轮/Triangle/汪洋血迷宮(台)  /  轮回三角,8.5
牯岭街少年杀人事件/牯嶺街少年殺人事件/A Brighter Summer Day,8.9
东京教父/東京ゴッドファーザーズ/Tokyo Godfathers,9.0
贫民窟的百万富翁/Slumdog Millionaire/一百万零一夜(港)  /  贫民百万富翁(台),8.6
大佛普拉斯/The Great Buddha+,8.7
魔女宅急便/魔女の宅急便/魔女琪琪(台)  /  小魔女限时专送,8.7
遗愿清单/The Bucket List/玩转身前事(港)  /  一路玩到挂(台),8.7
东邪西毒/東邪西毒/Ashes of Time,8.6
你看起来好像很好吃/おまえうまそうだな/你看起来很好吃(台)  /  你看上去好像很好吃,8.9
可可西里/Kekexili: Mountain Patrol,8.9
黑天鹅/Black Swan/夺命黑天鹅  /  霸王别鹅(豆友译名),8.6
城市之光/City Lights/City Lights: A Comedy Romance in Pantomime  /  Lichter der Großstadt,9.3
源代码/Source Code/启动原始码(台)  /  危机解密(港),8.5
末路狂花/Thelma & Louise/塞尔玛与路易丝  /  末路狂花,8.9
真爱至上/Love Actually/真的恋爱了(港)  /  爱是您，爱是我(台),8.5
海边的曼彻斯特/Manchester by the Sea/情系海边之城(港),8.6
波西米亚狂想曲/Bohemian Rhapsody/波希米亚狂想曲：摇滚传说(港)  /  波希米亚狂想曲(台),8.6
雨人/Rain Man/手足情未了(港)  /  手足情深,8.7
青蛇/Green Snake,8.6
初恋这件小事/สิ่งเล็กเล็กที่เรียกว่า...รัก/初恋那件小事(港)  /  暗恋那点小事,8.5
爱乐之城/La La Land/星声梦里人(港)  /  乐来越爱你(台),8.4
人工智能/A.I. Artificial Intelligence/AI人工智慧,8.7
恋恋笔记本/The Notebook/忘了·忘不了(港)  /  手札情缘(台),8.5
终结者2：审判日/Terminator 2: Judgment Day/未来战士2(港)  /  魔鬼终结者2(台),8.8
疯狂的麦克斯4：狂暴之路/Mad Max: Fury Road/末日先锋：战甲飞车(港)  /  疯狂麦斯：愤怒道(台),8.7
虎口脱险/La grande vadrouille/横冲直撞出重围(港)  /  大進擊(台),8.9
芙蓉镇/Hibiscus Town,9.3
罗生门/羅生門/Rashomon,8.8
新龙门客栈/新龍門客棧/New Dragon Gate Inn,8.7
无耻混蛋/Inglourious Basterds/希魔撞正杀人狂(港)  /  恶棍特工(台),8.7
崖上的波妞/崖の上のポニョ/悬崖上的金鱼姬  /  悬崖上的金鱼公主,8.6
千钧一发/Gattaca/变种异煞(港)  /  自然人,8.8
花束般的恋爱/花束みたいな恋をした/她和他的恋爱花期(港)  /  爱如花束 恋恋不忘,8.6
你看起来好像很好吃/おまえうまそうだな/你看起来很好吃(台)  /  你看上去好像很好吃,8.9
可可西里/Kekexili: Mountain Patrol,8.9
黑天鹅/Black Swan/夺命黑天鹅  /  霸王别鹅(豆友译名),8.6
城市之光/City Lights/City Lights: A Comedy Romance in Pantomime  /  Lichter der Großstadt,9.3
源代码/Source Code/启动原始码(台)  /  危机解密(港),8.5
末路狂花/Thelma & Louise/塞尔玛与路易丝  /  末路狂花,8.9
真爱至上/Love Actually/真的恋爱了(港)  /  爱是您，爱是我(台),8.5
海边的曼彻斯特/Manchester by the Sea/情系海边之城(港),8.6
波西米亚狂想曲/Bohemian Rhapsody/波希米亚狂想曲：摇滚传说(港)  /  波希米亚狂想曲(台),8.6
雨人/Rain Man/手足情未了(港)  /  手足情深,8.7
青蛇/Green Snake,8.6
初恋这件小事/สิ่งเล็กเล็กที่เรียกว่า...รัก/初恋那件小事(港)  /  暗恋那点小事,8.5
爱乐之城/La La Land/星声梦里人(港)  /  乐来越爱你(台),8.4
人工智能/A.I. Artificial Intelligence/AI人工智慧,8.7
恋恋笔记本/The Notebook/忘了·忘不了(港)  /  手札情缘(台),8.5
终结者2：审判日/Terminator 2: Judgment Day/未来战士2(港)  /  魔鬼终结者2(台),8.8
疯狂的麦克斯4：狂暴之路/Mad Max: Fury Road/末日先锋：战甲飞车(港)  /  疯狂麦斯：愤怒道(台),8.7
虎口脱险/La grande vadrouille/横冲直撞出重围(港)  /  大進擊(台),8.9
芙蓉镇/Hibiscus Town,9.3
罗生门/羅生門/Rashomon,8.8
新龙门客栈/新龍門客棧/New Dragon Gate Inn,8.7
无耻混蛋/Inglourious Basterds/希魔撞正杀人狂(港)  /  恶棍特工(台),8.7
崖上的波妞/崖の上のポニョ/悬崖上的金鱼姬  /  悬崖上的金鱼公主,8.6
千钧一发/Gattaca/变种异煞(港)  /  自然人,8.8
花束般的恋爱/花束みたいな恋をした/她和他的恋爱花期(港)  /  爱如花束 恋恋不忘,8.6
彗星来的那一夜/Coherence/相干性  /  相干效应,8.6
萤火虫之墓/火垂るの墓/再见萤火虫(港)  /  萤火挽歌,8.7
哈利·波特与死亡圣器(上)/Harry Potter and the Deathly Hallows: Part 1/哈利波特7：死神的圣物1(港 / 台) ,8.5
奇迹男孩/Wonder/奇迹,8.6
黑客帝国2：重装上阵/The Matrix Reloaded/22世纪杀人网络2：决战未来(港)  /  骇客任务：重装上阵(台),8.7
二十二/Twenty Two  /  22,8.7
白日梦想家/The Secret Life of Walter Mitty/发梦王大历险(港)  /  白日梦冒险王(台),8.6
高山下的花环/卫国军魂(港)  /  Wreaths at the Foot of the Mountain,9.5
火星救援/The Martian/火星任务(港)  /  绝地救援(台),8.5
战争之王/Lord of War/军火之王(台 / 港) ,8.7
血钻/Blood Diamond/血钻石(台)  /  血腥钻石,8.7
步履不停/歩いても 歩いても/横山家之味(港 / 台) ,8.8
房间/Room/不存在的房间(台)  /  抖室(港),8.8
千年女优/千年女優/Millennium Actress,8.8
魂断蓝桥/Waterloo Bridge/滑铁卢桥  /  断桥残梦,8.8
哈利·波特与凤凰社/Harry Potter and the Order of the Phoenix/哈利波特5：凤凰会的密令(港 / 台) ,8.5
谍影重重2/The Bourne Supremacy/叛谍追击2：机密圈套(港)  /  神鬼认证：神鬼疑云(台),8.7
大红灯笼高高挂/Raise The Red Lantern  /  Épouses et concubines,8.8
蜘蛛侠：平行宇宙/Spider-Man: Into the Spider-Verse/蜘蛛侠：新纪元  /  蜘蛛人：新宇宙(台),8.6
弱点/The Blind Side/守护有心人(港)  /  攻其不备(台),8.7
谍影重重/The Bourne Identity/叛谍追击(港)  /  神鬼认证(台),8.6
阿飞正传/阿飛正傳/Days of Being Wild,8.5
朗读者/The Reader/为爱朗读(台)  /  读爱(港),8.6
再次出发之纽约遇见你/Begin Again/再次出发  /  歌曲改变人生,8.6
燃情岁月/Legends of the Fall/秋日传奇  /  真爱一世情(台),8.7
彗星来的那一夜/Coherence/相干性  /  相干效应,8.6
萤火虫之墓/火垂るの墓/再见萤火虫(港)  /  萤火挽歌,8.7
哈利·波特与死亡圣器(上)/Harry Potter and the Deathly Hallows: Part 1/哈利波特7：死神的圣物1(港 / 台) ,8.5
奇迹男孩/Wonder/奇迹,8.6
黑客帝国2：重装上阵/The Matrix Reloaded/22世纪杀人网络2：决战未来(港)  /  骇客任务：重装上阵(台),8.7
二十二/Twenty Two  /  22,8.7
白日梦想家/The Secret Life of Walter Mitty/发梦王大历险(港)  /  白日梦冒险王(台),8.6
高山下的花环/卫国军魂(港)  /  Wreaths at the Foot of the Mountain,9.5
火星救援/The Martian/火星任务(港)  /  绝地救援(台),8.5
战争之王/Lord of War/军火之王(台 / 港) ,8.7
血钻/Blood Diamond/血钻石(台)  /  血腥钻石,8.7
步履不停/歩いても 歩いても/横山家之味(港 / 台) ,8.8
房间/Room/不存在的房间(台)  /  抖室(港),8.8
千年女优/千年女優/Millennium Actress,8.8
魂断蓝桥/Waterloo Bridge/滑铁卢桥  /  断桥残梦,8.8
哈利·波特与凤凰社/Harry Potter and the Order of the Phoenix/哈利波特5：凤凰会的密令(港 / 台) ,8.5
谍影重重2/The Bourne Supremacy/叛谍追击2：机密圈套(港)  /  神鬼认证：神鬼疑云(台),8.7
大红灯笼高高挂/Raise The Red Lantern  /  Épouses et concubines,8.8
蜘蛛侠：平行宇宙/Spider-Man: Into the Spider-Verse/蜘蛛侠：新纪元  /  蜘蛛人：新宇宙(台),8.6
弱点/The Blind Side/守护有心人(港)  /  攻其不备(台),8.7
谍影重重/The Bourne Identity/叛谍追击(港)  /  神鬼认证(台),8.6
阿飞正传/阿飛正傳/Days of Being Wild,8.5
朗读者/The Reader/为爱朗读(台)  /  读爱(港),8.6
再次出发之纽约遇见你/Begin Again/再次出发  /  歌曲改变人生,8.6
燃情岁月/Legends of the Fall/秋日传奇  /  真爱一世情(台),8.7
